FYR,AMOUNT,DEPTNAME,SUBDEPTNAME,VENDORNAME
Fiscal 12/13,1004.76,Public Works,Public Works-Pavement Maintenance,PROTO FAB INC
Fiscal 12/13,107.82,Public Works,Public Works-Pavement Maintenance,"R&E FASTENERS, INC."
Fiscal 12/13,1988.69,Public Works,Public Works-Pavement Maintenance,RED WING SHOE STORE
Fiscal 12/13,334.25,Public Works,Public Works-Pavement Maintenance,RENO DRAIN & OIL SERVICE
Fiscal 12/13,40.85,Public Works,Public Works-Pavement Maintenance,RENO PAINT MART INC
Fiscal 12/13,64.9,Public Works,Public Works-Pavement Maintenance,RENO SALVAGE CO
Fiscal 12/13,127.3,Public Works,Public Works-Pavement Maintenance,SAFETY ON SITE
Fiscal 12/13,1924.97,Public Works,Public Works-Pavement Maintenance,SIERRA REPAIR & SHARPENING INC
Fiscal 12/13,103.19,Public Works,Public Works-Pavement Maintenance,SIERRA WELDING SUPPLY
Fiscal 12/13,11922.94,Public Works,Public Works-Pavement Maintenance,SILVER STATE BARRICADE & SIGN
Fiscal 12/13,5870.49,Public Works,Public Works-Pavement Maintenance,SMITH MANUFACTURING CO
Fiscal 12/13,429.99,Public Works,Public Works-Pavement Maintenance,SPORTSMAN'S WAREHOUSE
Fiscal 12/13,1959.64,Public Works,Public Works-Pavement Maintenance,SUMMIT PARTNERS LLC
Fiscal 12/13,1420.02,Public Works,Public Works-Pavement Maintenance,SUNRISE ENVIRONMENTAL SCIENTIFIC
Fiscal 12/13,28.02,Public Works,Public Works-Pavement Maintenance,THOLL FENCE INC
Fiscal 12/13,1459.87,Public Works,Public Works-Pavement Maintenance,TIFCO INDUSTRIES
Fiscal 12/13,5413.5,Public Works,Public Works-Pavement Maintenance,TITAN CONSTRUCTION SUPPLY INC
Fiscal 12/13,2990.69,Public Works,Public Works-Pavement Maintenance,TMWA
Fiscal 12/13,250,Public Works,Public Works-Pavement Maintenance,TRENCH PLATE RENTAL CO
Fiscal 12/13,315,Public Works,Public Works-Pavement Maintenance,"TRINITY HIGHWAY PRODUCTS, LLC"
Fiscal 12/13,10.3,Public Works,Public Works-Pavement Maintenance,UNITED PARCEL SERVICE
Fiscal 12/13,2952.83,Public Works,Public Works-Pavement Maintenance,UNITED RENTALS
