FYR,AMOUNT,DEPTNAME,SUBDEPTNAME,VENDORNAME
Fiscal 12/13,158.88,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",NORTH AMERICAN EMBROIDERY
Fiscal 12/13,32.08,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",PETTY CASH-PARKS
Fiscal 12/13,12,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",PETTY CASH-PRCS SOUTHSIDE
Fiscal 12/13,200,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",PROGRESSIVE PEST MANAGEMENT
Fiscal 12/13,334,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",RAIL CITY GARDEN CENTER INC
Fiscal 12/13,4372.69,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",RDO EQUIPMENT CO
Fiscal 12/13,184.47,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",RED WING SHOE STORE
Fiscal 12/13,739.51,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",SIERRA REPAIR & SHARPENING INC
Fiscal 12/13,345,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry","TRIMS SOFTWARE INTERNATIONAL, INC."
Fiscal 12/13,255,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",WESTERNER SILVER SHOP
Fiscal 12/13,107.98,Parks and Recreation,"Parks, Rec. & Community Service-Urban Forestry",WORK WORLD
Fiscal 12/13,152,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",AMERICAN RED CROSS
Fiscal 12/13,750,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",ANIMAL ARK
Fiscal 12/13,920.06,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",AT&T
Fiscal 12/13,4715.74,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",COSTCO
Fiscal 12/13,85,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",DESERT LOCKSMITHS
Fiscal 12/13,319.5,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",HEWLETT-PACKARD
Fiscal 12/13,89.16,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",INLAND SUPPLY CO. INC
Fiscal 12/13,5949.3,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",JOSE AND ASSOCIATES
Fiscal 12/13,120,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",JUMP MAN JUMP INDOOR INFLATABLE PARTIES & PLAY
Fiscal 12/13,1619.5,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",MAGIC CARPET GOLF
Fiscal 12/13,1105.38,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",OFFICEMAX
Fiscal 12/13,88.24,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",PETTY CASH-ARTS & CULTURE
Fiscal 12/13,597.1,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",PETTY CASH-PRCS SOUTHSIDE
Fiscal 12/13,1055,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",PROJECT DISCOVERY
Fiscal 12/13,3869,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",PUMP IT UP
Fiscal 12/13,1500,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",RENO LITTLE THEATER
Fiscal 12/13,360,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",ROCKSPORT INDOOR CLIMBING CTR
Fiscal 12/13,2640.51,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",ROLLER KINGDOM
Fiscal 12/13,4872.3199,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",S & S WORLDWIDE
Fiscal 12/13,2774.58,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",SPRINT 
Fiscal 12/13,78,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",SUN PEAK ENTERPRISES
Fiscal 12/13,-100,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",TEMP
Fiscal 12/13,17607.5,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",WASHOE COUNTY SCHOOL DISTRICT
Fiscal 12/13,45901.65,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",WCSD NUTRITION SERVICES
Fiscal 12/13,3687,Parks and Recreation,"Parks, Rec. & Community Service-Youth Development",WILD ISLAND
Fiscal 12/13,125.15,Police,Police-Community Affairs,COSTCO
Fiscal 12/13,294.96,Police,Police-Community Affairs,OFFICEMAX
Fiscal 12/13,69.99,Police,Police-Downtown Police Tax District,ANDELIN
Fiscal 12/13,89.99,Police,Police-Downtown Police Tax District,BORST
Fiscal 12/13,721.35,Police,Police-Downtown Police Tax District,COPQUEST
Fiscal 12/13,78.53,Police,Police-Downtown Police Tax District,COSTCO
Fiscal 12/13,223.15,Police,Police-Downtown Police Tax District,FEATURE AWARDS
Fiscal 12/13,16.8,Police,Police-Downtown Police Tax District,GRAINGER
Fiscal 12/13,3147.18,Police,Police-Downtown Police Tax District,GREAT BASIN BICYCLES INC
Fiscal 12/13,65,Police,Police-Downtown Police Tax District,HALLERT
Fiscal 12/13,450,Police,Police-Downtown Police Tax District,MCDOWELL
Fiscal 12/13,2400,Police,Police-Downtown Police Tax District,MILLER'S SCHOOL JACKETS
Fiscal 12/13,44.25,Police,Police-Downtown Police Tax District,NEVADA RUBBER STAMP CO INC
Fiscal 12/13,88.8,Police,Police-Downtown Police Tax District,NEXTEL COMMUNICATIONS
Fiscal 12/13,158.61,Police,Police-Downtown Police Tax District,PETTY CASH-POLICE
Fiscal 12/13,119.99,Police,Police-Downtown Police Tax District,THOMPSON
Fiscal 12/13,59.98,Police,Police-Downtown Police Tax District,TINDELL
Fiscal 12/13,2444.09,Police,Police-Downtown Police Tax District,UNIFORMITY INC
Fiscal 12/13,1184.39,Police,Police-Downtown Police Tax District,VERIZON WIRELESS
Fiscal 12/13,320,Police,Police-Investigations,A & A TOWING INC
Fiscal 12/13,402,Police,Police-Investigations,ALL POINTS TOWING INC
Fiscal 12/13,250,Police,Police-Investigations,AMERICAN ASSOCIATION OF POLICE POLYGRAPHISTS INC
Fiscal 12/13,160,Police,Police-Investigations,ANDERSON TOWING/ROAD ONE
Fiscal 12/13,149.15,Police,Police-Investigations,ASSOCIATED BAG COMPANY
Fiscal 12/13,3857.59,Police,Police-Investigations,AT&T
Fiscal 12/13,600,Police,Police-Investigations,AT&T
Fiscal 12/13,40,Police,Police-Investigations,AUTO GUARDIAN TOWING
Fiscal 12/13,248.06,Police,Police-Investigations,BANK OF AMERICA - CARDS
Fiscal 12/13,66.95,Police,Police-Investigations,BATTERIES PLUS
Fiscal 12/13,80,Police,Police-Investigations,BIGHORN TOWING INC
Fiscal 12/13,50,Police,Police-Investigations,BIKER INVESTIGATORS ASSOC OF NORTHERN CALIFORNIA
Fiscal 12/13,673.05,Police,Police-Investigations,BOARD OF REGENTS-UNR M/S250
Fiscal 12/13,370,Police,Police-Investigations,BSM WIRELESS INC
Fiscal 12/13,326.4,Police,Police-Investigations,BURGARELLO ALARM INC
Fiscal 12/13,492,Police,Police-Investigations,CAL-NEVADA TOWING
Fiscal 12/13,881.18,Police,Police-Investigations,CARSON CITY TOWING
Fiscal 12/13,440,Police,Police-Investigations,CLARK PEST CONTROL OF STOCKTON INC
Fiscal 12/13,480,Police,Police-Investigations,CONCENTRA MEDICAL CENTER
Fiscal 12/13,1061.01,Police,Police-Investigations,COSTCO
Fiscal 12/13,400.5,Police,Police-Investigations,CRICKET COMMUNICATIONS
Fiscal 12/13,265,Police,Police-Investigations,CRITICAL REACH INC
Fiscal 12/13,5498.58,Police,Police-Investigations,CTS LANGUAGELINK
Fiscal 12/13,210,Police,Police-Investigations,D & S TOW INC
Fiscal 12/13,114.88,Police,Police-Investigations,DAYS INN
Fiscal 12/13,825,Police,Police-Investigations,ENTERSECT
Fiscal 12/13,2918.5,Police,Police-Investigations,ESCOBAR
Fiscal 12/13,2800,Police,Police-Investigations,ESRI INC
Fiscal 12/13,1346.45,Police,Police-Investigations,FEATURE AWARDS
Fiscal 12/13,344.57,Police,Police-Investigations,FEDERAL EXPRESS CORP
Fiscal 12/13,272.5,Police,Police-Investigations,FOX 
Fiscal 12/13,1425.27,Police,Police-Investigations,GLOBALSTAR USA
Fiscal 12/13,116.41,Police,Police-Investigations,GOVCONNECTION INC.
Fiscal 12/13,260.46,Police,Police-Investigations,"GOVCONNECTION, INC"
Fiscal 12/13,10.5,Police,Police-Investigations,HEALTHPORT
Fiscal 12/13,822.5,Police,Police-Investigations,JOHNSON ROBERTS & ASSOC
Fiscal 12/13,595,Police,Police-Investigations,LEIU
Fiscal 12/13,5158.75,Police,Police-Investigations,LEXISNEXIS RISK DATA MANAGEMENT
Fiscal 12/13,1874.83,Police,Police-Investigations,LOOMIS FARGO & CO
Fiscal 12/13,3750.75,Police,Police-Investigations,LYNN PEAVEY CO
