FYR,AMOUNT,DEPTNAME,SUBDEPTNAME,VENDORNAME
Fiscal 14/15,75,City Attorney,City Attorney-Civil Litigation-Legal Council,NEVADA ADVISORY COUNCIL FOR PROSECUTING ATTORNEYS
Fiscal 14/15,100,City Attorney,City Attorney-Civil Litigation-Legal Council,WELLS FARGO INSURANCE SERVICES
Fiscal 14/15,3100,City Attorney,City Attorney-Civil Litigation-Legal Council,ZIHN
Fiscal 14/15,5675,City Attorney,City Attorney-Criminal Prosecution,CYCOM DATA SYSTEMS INC
Fiscal 14/15,75,City Attorney,City Attorney-Criminal Prosecution,NEVADA ADVISORY COUNCIL FOR PROSECUTING ATTORNEYS
Fiscal 14/15,260,City Attorney,City Attorney-Criminal Prosecution,TEMP
Fiscal 14/15,3111.06,City Clerk,City Clerk-Cashiering-Parking Collections,BANK OF AMERICA - CARDS
Fiscal 14/15,900,City Council,City Council-Council Tourism,CHISHOLM
Fiscal 14/15,900,City Council,City Council-Council Tourism,PANTOJA
Fiscal 14/15,900,City Council,City Council-Council Tourism,PEYTON
Fiscal 14/15,900,City Council,City Council-Council Tourism,STEPHENS
Fiscal 14/15,500,City Council,City Council-Legislative,TEMP
Fiscal 14/15,5000,City Manager,City Manager-Intergovernmental Relations,CAPITALEDGE ADVOCACY INC
Fiscal 14/15,213.84,City Manager,City Manager-Public Information,AT&T
Fiscal 14/15,489,City Manager,City Manager-Workers Compensation-Safety,CONCENTRA MEDICAL CENTER
Fiscal 14/15,10360,Citywide,Citywide,49ER COMMUNICATIONS
Fiscal 14/15,9824.72,Citywide,Citywide,"ADP, INC"
Fiscal 14/15,26392.5,Citywide,Citywide,ADVANCED EXERCISE EQUIPMENT
Fiscal 14/15,4110,Citywide,Citywide,ALERT-ALL CORP
Fiscal 14/15,60.71,Citywide,Citywide,AMERICAN FAMILY LIFE ASSURANCE
Fiscal 14/15,8903.16,Citywide,Citywide,BRADY INDUSTRIES LLC
Fiscal 14/15,3430,Citywide,Citywide,BREWPRO INC
Fiscal 14/15,190,Citywide,Citywide,BRIAN MURPHY CONSTRUCTION & DEVELOPMENT INC
Fiscal 14/15,113.88,Citywide,Citywide,CAPITAL TITLE COMPANY
Fiscal 14/15,1260,Citywide,Citywide,CITY OF SPARKS
Fiscal 14/15,30,Citywide,Citywide,COMMUNITY FOUNDATION OF WESTERN NEVADA
Fiscal 14/15,7314.3,Citywide,Citywide,CONSECO HEALTH INSURANCE CO
